date,BAC_Close,Citi_Close,JPM_Close,WFC_Close
2023-11-01,25.647,39.2,140.249,39.006
2023-11-02,25.538,38.778,140.115,38.872
2023-11-03,25.477,38.499,139.783,38.26
2023-11-06,25.395,38.425,140.431,38.434
2023-11-07,24.661,37.607,137.832,37.448
2023-11-08,24.561,37.669,138.009,37.465
2023-11-09,24.663,37.834,138.378,37.543
2023-11-10,24.503,37.674,136.267,37.543
2023-11-13,24.147,37.356,136.075,36.639
2023-11-14,23.543,36.79,134.479,35.861
2023-11-15,23.756,37.046,135.808,36.234
2023-11-16,24.117,37.423,136.12,36.707
2023-11-17,23.981,37.528,137.181,36.862
2023-11-20,24.492,38.155,138.37,37.645
2023-11-21,25.467,38.896,139.609,37.89
2023-11-22,25.657,39.207,140.392,37.95
2023-11-23,25.419,39.125,139.456,38.008
2023-11-24,25.622,39.287,141.01,38.737
2023-11-27,25.968,39.216,141.442,39.369
2023-11-28,26.205,39.273,140.448,39.522
2023-11-29,26.185,39.208,140.393,39.484
2023-11-30,25.939,38.849,139.337,39.141
2023-12-01,25.656,38.372,138.203,38.913
2023-12-04,25.314,38.03,137.37,38.518
2023-12-05,25.454,38.452,138.322,38.882
2023-12-06,25.474,38.489,137.666,38.523
2023-12-07,26.126,39.352,139.647,39.404
2023-12-08,25.543,38.596,136.578,39.027
2023-12-11,25.901,38.983,137.808,39.508
2023-12-12,26.278,39.43,138.943,39.722
