"date, ""value"""
"10.2023, ""3,7%"""
"09.2023, ""3,7%"""
"08.2023, ""3,7%"""
"07.2023, ""3,2%"""
"06.2023, ""3,0%"""
"05.2023, ""4,0%"""
"04.2023, ""4,9%"""
"03.2023, ""5,0%"""
"02.2023, ""6,0%"""
"01.2023, ""6,4%"""
"12.2023, ""6,5%"""
"11.2022, ""7,1%"""
"10.2022, ""7,7%"""
"09.2022, ""8,2%"""
"08.2022, ""8,3%"""
"07.2022, ""8,5%"""
"06.2022, ""9,1%"""
"05.2022, ""8,6%"""
"04.2022, ""8,3%"""
"03.2022, ""8,5%"""
"02.2022, ""7,9%"""
"01.2022, ""7,5%"""
"12.2022, ""7,0%"""
"11.2021, ""6,8%"""
"10.2021, ""6,2%"""
"09.2021, ""5,4%"""
"08.2021, ""5,3%"""
"07.2021, ""5,4%"""
"06.2021, ""5,4%"""
"05.2021, ""5,0%"""
"04.2021, ""4,2%"""
"03.2021, ""2,6%"""
"02.2021, ""1,7%"""
"01.2021, ""1,4%"""
"12.2021, ""1,4%"""
"11.2020, ""1,2%"""
"10.2020, ""1,2%"""
"09.2020, ""1,4%"""
"08.2020, ""1,3%"""
"07.2020, ""1,0%"""
"06.2020, ""0,6%"""
"05.2020, ""0,1%"""
"04.2020, ""0,3%"""
"03.2020, ""1,5%"""
"02.2020, ""2,3%"""
"01.2020, ""2,5%"""
