"date", "value"
"10.2023", "4,9%"
"09.2023", "2,1%"
"08.2023", "2,1%"
"07.2023", "2,4%"
"06.2023", "2,0%"
"05.2023", "1,3%"
"04.2023", "1,1%"
"03.2023", "2,6%"
"02.2023", "2,7%"
"01.2023", "2,9%"
"12.2022", "3,2%"
"11.2022", "2,9%"
"10.2022", "2,6%"
"09.2022", "-0,6%"
"08.2022", "-0,6%"
"07.2022", "-0,9%"
"06.2022", "-1,6%"
"05.2022", "-1,5%"
"04.2022", "-1,4%"
"03.2022", "6,9%"
"02.2022", "7,0%"
"01.2022", "6,9%"
"12.2021", "2,3%"
"11.2021", "2,1%"
"10.2021", "2,0%"
"09.2021", "6,7%"
"08.2021", "6,6%"
"07.2021", "6,5%"
"06.2021", "6,4%"
"05.2021", "6,4%"
"04.2021", "6,4%"
"03.2021", "4,3%"
"02.2021", "4,1%"
"01.2021", "4,0%"
"12.2020", "33,4%"
"11.2020", "33,1%"
"10.2020", "33,1%"
"09.2020", "-31,4%"
"08.2020", "-31,7%"
"07.2020", "-32,9%"
"06.2020", "-5,0%"
"05.2020", "-5,0%"
"04.2020", "-4,8%"
"03.2020", "2,1%"
"02.2020", "2,1%"
"01.2020", "2,1%"
